verb	verb_present	verb_past
mathematise	mathematises	mathematised
mathematize	mathematizes	mathematized
matriculate	matriculates	matriculated
matronize	matronizes	matronized
matter	matters	mattered
mattify	mattifies	mattified
maturate	maturates	maturated
mature	matures	matured
maudle	maudles	maudled
maul	mauls	mauled
maunch	maunches	maunched
maund	maunds	maunded
maunder	maunders	maundered
mawn	mawns	mawned
max	maxes	maxed
maximalize	maximalizes	maximalized
maximin	maximins	maximinned
maximise	maximises	maximised
maximize	maximizes	maximized
may	may	might
maze	mazes	mazed
meach	meaches	meached
meager	meagers	meagered
meagre	meagres	meagred
meal	meals	mealed
mean	means	meant
meander	meanders	meandered
measure	measures	measured
meaw	meaws	meawed
meawl	meawls	meawled
mechanicalize	mechanicalizes	mechanicalized
mechanise	mechanises	mechanised
mechanize	mechanizes	mechanized
medal	medals	medaled
meddle	meddles	meddled
medevac	medevacs	medevacked
mediate	mediates	mediated
mediatise	mediatises	mediatised
mediatize	mediatizes	mediatized
medicalise	medicalises	medicalised
medicalize	medicalizes	medicalized
medicate	medicates	medicated
medicine	medicines	medicined
medievalize	medievalizes	medievalized
medise	medises	medised
meditate	meditates	meditated
medivac	medivacs	medivacked
medize	medizes	medized
medley	medleys	medleyed
medly	medlies	medlied
meech	meeches	meeched
meed	meeds	meeded
meek	meeks	meeked
meeken	meekens	meekened
meep	meeps	meeped
meet	meets	met
meeten	meetens	meetened
megadose	megadoses	megadosed
megaphone	megaphones	megaphoned
melancholize	melancholizes	melancholized
melanize	melanizes	melanized
meld	melds	melded
mele	meles	meled
melee	melees	meleed
meliorate	meliorates	meliorated
mell	mells	melled
mellify	mellifies	mellified
mellow	mellows	mellowed
melodise	melodises	melodised
melodize	melodizes	melodized
melodramatise	melodramatises	melodramatised
melodramatize	melodramatizes	melodramatized
melt	melts	melted
member	members	membered
memo	memos	memoed
memoise	memoises	memoised
memoize	memoizes	memoized
memorate	memorates	memorated
memorialise	memorialises	memorialised
memorialize	memorializes	memorialized
memorise	memorises	memorised
memorize	memorizes	memorized
menace	menaces	menaced
mend	mends	mended
mendelize	mendelizes	mendelizeed
mendicate	mendicates	mendicated
mense	menses	mensed
menstrate	menstrates	menstrated
menstruate	menstruates	menstruated
mensurate	mensurates	mensurated
mentalize	mentalizes	mentalized
mention	mentions	mentioned
mentor	mentors	mentored
meou	meous	meoued
meow	meows	meowed
mephitize	mephitizes	mephitized
merce	merces	merced
mercerise	mercerises	mercerised
mercerize	mercerizes	mercerized
merchand	merchands	merchanded
merchandise	merchandises	merchandised
merchandize	merchandizes	merchandized
merchant	merchants	merchanted
mercify	mercifies	mercified
mercurialize	mercurializes	mercurialized
mercurify	mercurifies	mercurified
mere	meres	mered
merengue	merengues	merengued
merge	merges	merged
mergesort	mergesorts	mergesorted
merit	merits	merited
merk	merks	merked
merrimake	merrimakes	merrimade
merrow	merrows	merrowed
merrymake	merrymakes	merrymade
mese	meses	mesed
mesh	meshes	meshed
mesmerise	mesmerises	mesmerised
mesmerize	mesmerizes	mesmerized
mess	messes	messed
message	messages	messaged
messenger	messengers	messengered
metablog	metablogs	metablogged
metabolise	metabolises	metabolised
metabolize	metabolizes	metabolized
metal	metals	metalled
metalise	metalises	metalised
metalize	metalizes	metalized
metallicize	metallicizes	metallicized
metallise	metallises	metallised
metallize	metallizes	metallized
metamorphize	metamorphizes	metamorphized
metamorphose	metamorphoses	metamorphosed
metamorphosise	metamorphosises	metamorphosised
metamorphosize	metamorphosizes	metamorphosized
metaphorise	metaphorises	metaphorised
metaphorize	metaphorizes	metaphorized
metaphrase	metaphrases	metaphrased
metastasise	metastasises	metastasised
metastasize	metastasizes	metastasized
metastatize	metastatizes	metastatized
metastisize	metastisizes	metastisized
metathesize	metathesizes	metathesized
mete	metes	meted
metempsychose	metempsychoses	metempsychosed
meteor	meteors	meteored
meteorize	meteorizes	meteorized
meter	meters	metered
methodize	methodizes	methodized
methylate	methylates	methylated
metonymize	metonymizes	metonymized
metre	metres	metred
metric	not used	metricked
metricate	metricates	metricated
metricize	metricizes	metricized
metrify	metrifies	metrified
mew	mews	mewed
mewl	mewls	mewled
mezzotint	mezzotints	mezzotinted
mezzotinto	mezzotintos	mezzotintoed
miaou	miaous	miaoued
miaow	miaows	miaowed
miaul	miauls	miauled
mic	mics	miced
mich	miches	miched
micher	michers	michered
micro	micros	microed
microaggress	microaggresses	microaggressed
microassay	microassays	microassayed
microblog	microblogs	microblogged
microchip	microchips	microchipped
microchunk	microchunks	microchunked
microcrack	microcracks	microcracked
microdissect	microdissects	microdissected
microencapsulate	microencapsulates	microencapsulated
microfabricate	microfabricates	microfabricated
microfilm	microfilms	microfilmed
microinject	microinjects	microinjected
micromanage	micromanages	micromanaged
microminiaturize	microminiaturizes	microminiaturized
micronise	micronises	micronised
micronize	micronizes	micronized
micropattern	micropatterns	micropatterned
microphone	microphones	microphoned
microphotograph	microphotographs	microphotographed
micropolish	micropolishes	micropolished
microprogram	microprograms	microprogrammed
microregulate	microregulates	microregulated
microtitrate	microtitrates	microtitrated
microtome	microtomes	microtomed
microwave	microwaves	microwaved
micturate	micturates	micturated
midwife	midwives	midwived
midwive	midwives	midwived
miff	miffs	miffed
mightsome	mightsomes	mightsomed
migrate	migrates	migrated
mike	mikes	miked
milden	mildens	mildened
mildew	mildews	mildewed
mildewproof	mildewproofs	mildewproofed
milepost	mileposts	mileposted
milestone	milestones	milestoned
militarise	militarises	militarised
militarize	militarizes	militarized
militate	militates	militated
militiate	militiates	militiated
milk	milks	milked
mill	mills	milled
milse	milses	milsed
milt	milts	milted
mime	mimes	mimed
mimeograph	mimeographs	mimeographed
mimic	mimics	mimicked
mimick	mimicks	mimicked
mimmer	mimmers	mimmered
min	mins	minned
minac	minacs	minacked
mince	minces	minced
mind	minds	minded
mindfuck	mindfucks	mindfucked
mindscrew	mindscrews	mindscrewed
mindwipe	mindwipes	mindwiped
mine	mines	mined
mineralize	mineralizes	mineralized
mineralogize	mineralogizes	mineralogized
ming	mings	minged
minge	minges	minged
mingle	mingles	mingled
miniate	miniates	miniated
miniature	miniatures	miniatured
miniaturise	miniaturises	miniaturised
miniaturize	miniaturizes	miniaturized
minify	minifies	minified
minimalise	minimalises	minimalised
minimalize	minimalizes	minimalized
minimax	minimaxes	minimaxed
minimise	minimises	minimised
minimize	minimizes	minimized
miniprep	minipreps	miniprepped
minish	minishes	minished
minister	ministers	ministered
minnow	minnows	minnowed
minor	minors	minored
minorate	minorates	minorated
minoritise	minoritises	minoritised
minoritize	minoritizes	minoritized
minse	minses	minsed
mint	mints	minted
minuet	minuets	minueted
minute	minutes	minuted
miraculize	miraculizes	miraculized
mirage	mirages	miraged
mire	mires	mired
mirk	mirks	mirked
mirken	mirkens	mirkened
mirror	mirrors	mirrored
mirrour	mirrours	mirroured
mirv	mirvs	mirved
misacknowledge	misacknowledges	misacknowledged
misadapt	misadapts	misadapted
misaddress	misaddresses	misaddressed
misadjust	misadjusts	misadjusted
misadvise	misadvises	misadvised
misaffect	misaffects	misaffected
misaffirm	misaffirms	misaffirmed
misaim	misaims	misaimed
misalign	misaligns	misaligned
misallege	misalleges	misalleged
misallocate	misallocates	misallocated
misally	misallies	misallied
misanalyse	misanalyses	misanalysed
misanalyze	misanalyzes	misanalyzed
misapply	misapplies	misapplied
misapprehend	misapprehends	misapprehended
misappropriate	misappropriates	misappropriated
misarrange	misarranges	misarranged
misascribe	misascribes	misascribed
misassign	misassigns	misassigned
misassociate	misassociates	misassociated
misattend	misattends	misattended
misattribute	misattributes	misattributed
misavise	misavises	misavised
misbear	misbears	misbore
misbeat	misbeats	misbeat
misbecome	misbecomes	misbecame
misbede	misbedes	misbode
misbefall	misbefalls	misbefell
misbehave	misbehaves	misbehaved
misbelieve	misbelieves	misbelieved
misbeseem	misbeseems	misbeseemed
misbestow	misbestows	misbestowed
misbid	misbids	misbid
misbind	misbinds	misbound
misbrand	misbrands	misbranded
misbreathe	misbreathes	misbreathed
misbrook	misbrooks	misbrooked
misbuild	misbuilds	misbuilt
misbutton	misbuttons	misbuttoned
miscalculate	miscalculates	miscalculated
miscalibrate	miscalibrates	miscalibrated
miscall	miscalls	miscalled
miscapitalise	miscapitalises	miscapitalised
miscapitalize	miscapitalizes	miscapitalized
miscarry	miscarries	miscarried
miscast	miscasts	miscast
miscategorise	miscategorises	miscategorised
miscategorize	miscategorizes	miscategorized
miscegenate	miscegenates	miscegenated
miscensure	miscensures	miscensured
mischaracterise	mischaracterises	mischaracterised
mischaracterize	mischaracterizes	mischaracterized
mischarge	mischarges	mischarged
mischieve	mischieves	mischieved
mischoose	mischooses	mischose
mischristen	mischristens	mischristened
miscite	miscites	miscited
misclassify	misclassifies	misclassified
miscleave	miscleaves	miscleft
miscognize	miscognizes	miscognized
miscolor	miscolors	miscolored
miscolour	miscolours	miscoloured
miscome	miscomes	miscame
miscommunicate	miscommunicates	miscommunicated
miscomprehend	miscomprehends	miscomprehended
miscompute	miscomputes	miscomputed
misconceive	misconceives	misconceived
misconduct	misconducts	misconducted
misconfigure	misconfigures	misconfigured
misconjecture	misconjectures	misconjectured
misconjugate	misconjugates	misconjugated
misconnect	misconnects	misconnected
misconsecrate	misconsecrates	misconsecrated
misconster	misconsters	misconstered
misconstruct	misconstructs	misconstructed
misconstrue	misconstrues	misconstrued
misconvert	misconverts	misconverted
miscook	miscooks	miscooked
miscopy	miscopies	miscopied
miscorrect	miscorrects	miscorrected
miscost	miscosts	miscosted
miscounsel	miscounsels	miscounselled
miscount	miscounts	miscounted
miscreate	miscreates	miscreated
miscredit	miscredits	miscredited
miscue	miscues	miscued
miscure	miscures	miscured
misdate	misdates	misdated
misdeal	misdeals	misdealt
misdeem	misdeems	misdeemed
misdefend	misdefends	misdefended
misdefine	misdefines	misdefined
misdemean	misdemeans	misdemeaned
misderive	misderives	misderived
misdescribe	misdescribes	misdescribed
misdesign	misdesigns	misdesigned
misdetermine	misdetermines	misdetermined
misdevelop	misdevelops	misdeveloped
misdevote	misdevotes	misdevoted
misdiagnose	misdiagnoses	misdiagnosed
misdial	misdials	misdialled
misdiet	misdiets	misdieted
misdight	misdights	misdight
misdirect	misdirects	misdirected
misdistinguish	misdistinguishes	misdistinguished
misdistribute	misdistributes	misdistributed
misdivide	misdivides	misdivided
misdo	misdoes	misdid
misdoom	misdooms	misdoomed
misdoubt	misdoubts	misdoubted
miseducate	miseducates	miseducated
misemploy	misemploys	misemployed
misencode	misencodes	misencoded
misenter	misenters	misentered
misentreat	misentreats	misentreated
misestimate	misestimates	misestimated
misevaluate	misevaluates	misevaluated
misexplain	misexplains	misexplained
misexpound	misexpounds	misexpounded
misexpress	misexpresses	misexpressed
misfall	misfalls	misfell
misfare	misfares	misfared
misfashion	misfashions	misfashioned
misfeed	misfeeds	misfed
misfield	misfields	misfielded
misfile	misfiles	misfiled
misfire	misfires	misfired
misfit	misfits	misfitted
misfold	misfolds	misfolded
misform	misforms	misformed
misformat	misformats	misformatted
misframe	misframes	misframed
misfriend	misfriends	misfriended
misfuel	misfuels	misfuelled
misfunction	misfunctions	misfunctioned
misgauge	misgauges	misgauged
misgender	misgenders	misgendered
misget	misgets	misgot
misgive	misgives	misgave
misgo	misgoes	miswent
misgovern	misgoverns	misgoverned
misgrade	misgrades	misgraded
misgraft	misgrafts	misgrafted
misground	misgrounds	misgrounded
misgrow	misgrows	misgrew
misguess	misguesses	misguessed
misguggle	misguggles	misguggled
misguide	misguides	misguided
misguilt	misguilts	misguilted
mishandle	mishandles	mishandled
mishappen	mishappens	mishappened
mishave	mishas	mishad
mishear	mishears	misheard
misheed	misheeds	misheeded
mishit	mishits	mishit
mishmash	mishmashes	mishmashed
mishold	misholds	misheld
mishope	mishopes	mishoped
misidentify	misidentifies	misidentified
misimplement	misimplements	misimplemented
misimprint	misimprints	misimprinted
misimprove	misimproves	misimproved
misincline	misinclines	misinclined
misincorporate	misincorporates	misincorporated
misinfer	misinfers	misinferred
misinform	misinforms	misinformed
misinspire	misinspires	misinspired
misinstruct	misinstructs	misinstructed
misintend	misintends	misintended
misinterpret	misinterprets	misinterpreted
misinvest	misinvests	misinvested
misjoin	misjoins	misjoined
misjudge	misjudges	misjudged
miskeep	miskeeps	miskept
misken	miskens	miskenned
miskey	miskeys	miskeyed
miskick	miskicks	miskicked
miskindle	miskindles	miskindled
misknow	misknows	misknew
mislabel	mislabels	mislabelled
misland	mislands	mislanded
mislay	mislays	mislaid
misle	misles	misled
mislead	misleads	misled
mislearn	mislearns	mislearned
mislie	mislies	mislay
mislight	mislights	mislighted
mislike	mislikes	misliked
mislink	mislinks	mislinked
mislist	mislists	mislisted
mislive	mislives	mislived
mislocalize	mislocalizes	mislocalized
mislocate	mislocates	mislocated
mislodge	mislodges	mislodged
mislook	mislooks	mislooked
mislove	misloves	misloved
misluck	mislucks	mislucked
mismail	mismails	mismailed
mismake	mismakes	mismade
mismanage	mismanages	mismanaged
mismap	mismaps	mismapped
mismark	mismarks	mismarked
mismarket	mismarkets	mismarketed
mismatch	mismatches	mismatched
mismate	mismates	mismated
mismean	mismeans	mismeant
mismeasure	mismeasures	mismeasured
mismeter	mismeters	mismetered
misname	misnames	misnamed
misnomer	misnomers	misnomered
misnote	misnotes	misnoted
misnumber	misnumbers	misnumbered
misnurture	misnurtures	misnurtured
misobserve	misobserves	misobserved
misogynise	misogynises	misogynised
misoperate	misoperates	misoperated
misorder	misorders	misordered
misown	misowns	misowned
mispaint	mispaints	mispainted
mispair	mispairs	mispaired
misparaphrase	misparaphrases	misparaphrased
misparse	misparses	misparsed
mispay	mispays	mispaid
misperceive	misperceives	misperceived
misperson	mispersons	mispersoned
mispersuade	mispersuades	mispersuaded
misphrase	misphrases	misphrased
misplace	misplaces	misplaced
misplan	misplans	misplanned
misplant	misplants	misplanted
misplay	misplays	misplayed
misplead	mispleads	mispled
misplease	mispleases	mispleased
mispoint	mispoints	mispointed
misportray	misportrays	misportrayed
mispraise	mispraises	mispraised
mispredict	mispredicts	mispredicted
misprescribe	misprescribes	misprescribed
misprice	misprices	mispriced
misprint	misprints	misprinted
misprise	misprises	misprised
misprize	misprizes	misprized
misprocess	misprocesses	misprocessed
misproduce	misproduces	misproduced
misprogram	misprograms	misprogrammed
misprogramme	misprogrammes	misprogrammed
mispronounce	mispronounces	mispronounced
misproportion	misproportions	misproportioned
mispunctuate	mispunctuates	mispunctuated
misqualify	misqualifies	misqualified
misquote	misquotes	misquoted
misraise	misraises	misraised
misrate	misrates	misrated
misread	misreads	misread
misrecall	misrecalls	misrecalled
misreceive	misreceives	misreceived
misrecite	misrecites	misrecited
misreckon	misreckons	misreckoned
misrecognize	misrecognizes	misrecognized
misrecollect	misrecollects	misrecollected
misrecord	misrecords	misrecorded
misrede	misredes	misreded
misregard	misregards	misregarded
misregulate	misregulates	misregulated
misrehearse	misrehearses	misrehearsed
misrelate	misrelates	misrelated
misremember	misremembers	misremembered
misrender	misrenders	misrendered
misrepeat	misrepeats	misrepeated
misreport	misreports	misreported
misrepresent	misrepresents	misrepresented
misrepute	misreputes	misreputed
misrespect	misrespects	misrespected
misrhyme	misrhymes	misrhymed
misroute	misroutes	misrouted
misrule	misrules	misruled
miss	misses	missed
missay	missays	missaid
missee	missees	missaw
misseek	misseeks	missought
misseem	misseems	misseemed
misselect	misselects	misselected
missend	missends	missent
misserve	misserves	misserved
misset	missets	misset
misshape	misshapes	misshaped
misshelve	misshelves	misshelved
missificate	missificates	missificated
mission	missions	missioned
missionaryize	missionaryizes	missionaryized
missionise	missionises	missionised
missionize	missionizes	missionized
missit	missits	missat
missort	missorts	missorted
missound	missounds	missounded
misspeak	misspeaks	misspoke
misspell	misspells	misspelt
misspend	misspends	misspent
misstate	misstates	misstated
misstay	misstays	misstayed
misstep	missteps	missteped
misstrike	misstrikes	misstruck
misstructure	misstructures	misstructured
misswear	misswears	misswore
mist	mists	misted
mistag	mistags	mistagged
mistake	mistakes	mistook
misteach	misteaches	mistaught
mistell	mistells	mistold
mistemper	mistempers	mistempered
mister	misters	mistered
misterm	misterms	mistermed
misthink	misthinks	misthought
misthread	misthreads	misthreaded
misthrow	misthrows	misthrew
mistide	mistides	mistided
mistify	mistifies	mistified
mistime	mistimes	mistimed
mistitle	mistitles	mistitled
mistle	mistles	mistled
mistrack	mistracks	mistracked
mistrain	mistrains	mistrained
mistranscribe	mistranscribes	mistranscribed
mistranslate	mistranslates	mistranslated
mistransliterate	mistransliterates	mistransliterated
mistreat	mistreats	mistreated
mistrist	mistrists	mistristed
mistrow	mistrows	mistrowed
mistrust	mistrusts	mistrusted
mistune	mistunes	mistuned
misturn	misturns	misturned
mistutor	mistutors	mistutored
mistype	mistypes	mistyped
misunderestimate	misunderestimates	misunderestimated
misunderstand	misunderstands	misunderstood
misuse	misuses	misused
misvalue	misvalues	misvalued
misvote	misvotes	misvoted
misvouch	misvouches	misvouched
miswander	miswanders	miswandered
miswant	miswants	miswanted
miswear	miswears	miswore
miswed	misweds	miswed
misween	misweens	misweened
miswend	miswends	miswent
misword	miswords	misworded
misworship	misworships	misworshipped
miswrite	miswrites	miswrote
misyield	misyields	misyielded
misyoke	misyokes	misyoked
mitch	mitches	mitched
miter	miters	mitered
mithe	mithes	mithed
mither	mithers	mithered
mithridatize	mithridatizes	mithridatized
mitigate	mitigates	mitigated
mitose	mitoses	mitosed
mitre	mitres	mitred
mix	mixes	mixed
mixe	mixes	mixed
mizzle	mizzles	mizzled
moan	moans	moaned
mob	mobs	mobbed
mobilise	mobilises	mobilised
mobilize	mobilizes	mobilized
moble	mobles	mobled
moblog	moblogs	moblogged
mock	mocks	mocked
mocque	mocques	mocqued
mod	mods	modded
modalise	modalises	modalised
model	models	modeled
modelize	modelizes	modelized
modell	modells	modelled
modem	modems	modemed
moder	moders	modered
moderate	moderates	moderated
modernise	modernises	modernised
modernize	modernizes	modernized
modificate	modificates	modificated
modify	modifies	modified
modularise	modularises	modularised
modularize	modularizes	modularized
modulate	modulates	modulated
modulize	modulizes	modulized
moider	moiders	moidered
moil	moils	moiled
moisten	moistens	moistened
moistureproof	moistureproofs	moistureproofed
moisturise	moisturises	moisturised
moisturize	moisturizes	moisturized
moither	moithers	moithered
molarize	molarizes	molarized
mold	molds	molded
molder	molders	moldered
moleskin	moleskins	moleskinned
molest	molests	molested
mollifie	mollifies	mollified
mollify	mollifies	mollified
molluscicide	molluscicides	molluscicided
mollycoddle	mollycoddles	mollycoddled
molt	molts	molted
mommick	mommicks	mommicked
monarchize	monarchizes	monarchized
mone	mones	moned
monest	monests	monested
monetise	monetises	monetised
monetize	monetizes	monetized
monger	mongers	mongered
mongrelise	mongrelises	mongrelised
mongrelize	mongrelizes	mongrelized
monish	monishes	monished
monitor	monitors	monitored
monkey	monkeys	monkeyed
monochromatize	monochromatizes	monochromatized
monodisperse	monodisperses	monodispersed
monogram	monograms	monogrammed
monograph	monographs	monographed
monolog	monologs	monologed
monologise	monologises	monologised
monologize	monologizes	monologized
monologue	monologues	monologued
monomerize	monomerizes	monomerized
monomethylate	monomethylates	monomethylated
monophthongise	monophthongises	monophthongised
monophthongize	monophthongizes	monophthongized
monopolise	monopolises	monopolised
monopolize	monopolizes	monopolized
monospace	monospaces	monospaced
monotask	monotasks	monotasked
monotone	monotones	monotoned
monoubiquitinate	monoubiquitinates	monoubiquitinated
monoubiquitylate	monoubiquitylates	monoubiquitylated
monster	monsters	monstered
monsterise	monsterises	monsterised
monsterize	monsterizes	monsterized
montage	montages	montaged
monumentalize	monumentalizes	monumentalized
moo	moos	mooed
mooch	mooches	mooched
moodle	moodles	moodled
moon	moons	mooned
moonball	moonballs	moonballed
moonlight	moonlights	moonlighted
moonwalk	moonwalks	moonwalked
moor	moors	moored
moot	moots	mooted
moove	mooves	moovd
mop	mops	mopped
mope	mopes	moped
mopy	mopies	mopied
moralise	moralises	moralised
moralize	moralizes	moralized
morcellate	morcellates	morcellated
mordant	mordants	mordanted
more	mores	mored
morph	morphs	morphed
morphotype	morphotypes	morphotyped
morrice	morrices	morriced
mortalise	mortalises	mortalised
mortalize	mortalizes	mortalized
mortar	mortars	mortared
mortgage	mortgages	mortgaged
mortice	mortices	morticed
mortify	mortifies	mortified
mortise	mortises	mortised
mosby	mosbies	mosbied
mosey	moseys	moseyed
mosh	moshes	moshed
mosquito	mosquitos	mosquitoed
moss	mosses	mossed
mosy	mosies	mosied
moth	moths	mothed
mothball	mothballs	mothballed
mother	mothers	mothered
mothproof	mothproofs	mothproofed
motion	motions	motioned
motivate	motivates	motivated
motive	motives	motived
motor	motors	motored
motorbike	motorbikes	motorbiked
motorboat	motorboats	motorboated
motorcycle	motorcycles	motorcycled
motorise	motorises	motorised
motorize	motorizes	motorized
motorvate	motorvates	motorvated
mottle	mottles	mottled
mould	moulds	moulded
moulder	moulders	mouldered
moult	moults	moulted
mounch	mounches	mounched
mound	mounds	mounded
mount	mounts	mounted
mountainboard	mountainboards	mountainboarded
mountebank	mountebanks	mountebanked
mourn	mourns	mourned
mouse	mouses	moused
mousetrap	mousetraps	mousetrapped
mousle	mousles	mousled
mousse	mousses	moussed
mouth	mouths	mouthed
mouthfuck	mouthfucks	mouthfucked
move	moves	moved
mow	mows	mowed
moyle	moyles	moyled
mozy	mozies	mozied
muck	mucks	mucked
mucker	muckers	muckered
muckle	muckles	muckled
muckrake	muckrakes	muckraked
mud	muds	mudded
muddle	muddles	muddled
muddy	muddies	muddied
mudpuddle	mudpuddles	mudpuddled
mue	mues	mued
muff	muffs	muffed
muffle	muffles	muffled
mug	mugs	mugged
muggle	muggles	muggled
mulch	mulches	mulched
mulct	mulcts	mulcted
mules	muleses	mulesed
mull	mulls	mulled
muller	mullers	mullered
multiload	multiloads	multiloaded
multimerize	multimerizes	multimerized
multipartition	multipartitions	multipartitioned
multiplex	multiplexes	multiplexed
multiplicate	multiplicates	multiplicated
multiply	multiplies	multiplied
multipost	multiposts	multiposted
multiracialize	multiracializes	multiracialized
multishirk	multishirks	multishirked
multitask	multitasks	multitasked
mum	mums	mummed
mumble	mumbles	mumbled
mummify	mummifies	mummified
mummy	mummies	mummied
mump	mumps	mumped
munch	munches	munched
mundify	mundifies	mundified
munerate	munerates	munerated
mung	mungs	munged
munge	munges	munged
municipalize	municipalizes	municipalized
munify	munifies	munified
munite	munites	munited
munt	munts	munted
murder	murders	murdered
mure	mures	mured
murk	murks	murked
murmur	murmurs	murmured
murmurate	murmurates	murmurated
murr	murrs	murred
murther	murthers	murthered
muscle	muscles	muscled
muscularize	muscularizes	muscularized
muse	muses	mused
mush	mushes	mushed
mushroom	mushrooms	mushroomed
music	musics	musicked
musicalise	musicalises	musicalised
musicalize	musicalizes	musicalized
musk	musks	musked
muss	musses	mussed
mussitate	mussitates	mussitated
must	musts	musted
muster	musters	mustered
mustre	mustres	mustred
mutagenize	mutagenizes	mutagenized
mutate	mutates	mutated
mute	mutes	muted
mutex	mutexes	mutexed
mutilate	mutilates	mutilated
mutine	mutines	mutined
mutiny	mutinies	mutinied
mutter	mutters	muttered
mutualise	mutualises	mutualised
mutualize	mutualizes	mutualized
mux	muxes	muxed
muzzle	muzzles	muzzled
myek	myeks	made
myelinate	myelinates	myelinated
myristylate	myristylates	myristylated
myspace	myspaces	myspaced
mysterize	mysterizes	mysterized
mysticise	mysticises	mysticised
mysticize	mysticizes	mysticized
mystify	mystifies	mystified
myther	mythers	mythered
mythicize	mythicizes	mythicized
mythologise	mythologises	mythologised
mythologize	mythologizes	mythologized
mythopoeticize	mythopoeticizes	mythopoeticized
naai	naais	naaied
nab	nabs	nabbed
nack	nacks	nacked
nadir	nadirs	nadired
nag	nags	nagged
nail	nails	nailed
nait	naits	naited
nake	nakes	naked
naken	nakens	nakened
name	names	named
namecheck	namechecks	namechecked
namedrop	namedrops	namedropped
namefag	namefags	namefagged
namesake	namesakes	namesaked
namespace	namespaces	namespaced
nance	nances	nanced
nanny	nannies	nannied
nanofabricate	nanofabricates	nanofabricated
nanoimprint	nanoimprints	nanoimprinted
nap	naps	napped
napalm	napalms	napalmed
nape	napes	naped
naphthalize	naphthalizes	naphthalized
napoo	napoos	napooed
nappy	nappies	nappied
narc	narcs	narced
narcissize	narcissizes	narcissized
narcoticize	narcoticizes	narcoticized
narcotise	narcotises	narcotised
narcotize	narcotizes	narcotized
nark	narks	narked
narrate	narrates	narrated
narrativise	narrativises	narrativised
narrativize	narrativizes	narrativized
narrow	narrows	narrowed
narrowcast	narrowcasts	narrowcasted
nasalise	nasalises	nasalised
nasalize	nasalizes	nasalized
nationalise	nationalises	nationalised
nationalize	nationalizes	nationalized
nativize	nativizes	nativized
natter	natters	nattered
naturalise	naturalises	naturalised
naturalize	naturalizes	naturalized
nature	natures	natured
naturize	naturizes	naturized
nauseate	nauseates	nauseated
navigate	navigates	navigated
navvy	navvies	navvied
nay	nays	nayed
naysay	naysays	naysaid
neal	neals	nealed
neap	neaps	neaped
near	nears	neared
nearshore	nearshores	nearshored
neaten	neatens	neatened
neatify	neatifies	neatified
nebulise	nebulises	nebulised
nebulize	nebulizes	nebulized
necessitate	necessitates	necessitated
neck	necks	necked
necklace	necklaces	necklaced
necro	necroes	necroed
necromance	necromances	necromanced
necropost	necroposts	necroposted
necropsy	necropsies	necropsied
necrose	necroses	necrosed
necrotise	necrotises	necrotised
necrotize	necrotizes	necrotized
nectarize	nectarizes	nectarized
need	needs	needed
needle	needles	needled
neese	neeses	neesed
neeze	neezes	neezed
neg	negs	negged
negate	negates	negated
negative	negatives	negatived
negativize	negativizes	negativized
neglect	neglects	neglected
negotiate	negotiates	negotiated
negrify	negrifies	negrified
negrofy	negrofies	negrofied
negroize	negroizes	negroized
neigh	neighs	neighed
neighbor	neighbors	neighbored
neighbour	neighbours	neighboured
nempne	nempnes	nempned
neologise	neologises	neologised
neologize	neologizes	neologized
neoterise	neoterises	neoterised
neoterize	neoterizes	neoterized
nephrectomize	nephrectomizes	nephrectomized
nerdify	nerdifies	nerdified
nerf	nerfs	nerfed
nerve	nerves	nerved
nesh	neshes	neshed
neshen	neshens	neshened
nesslerise	nesslerises	nesslerised
nesslerize	nesslerizes	nesslerized
nest	nests	nested
nestle	nestles	nestled
net	nets	netted
nether	nethers	nethered
netsplit	netsplits	netsplitted
nettle	nettles	nettled
network	networks	networked
neuroimage	neuroimages	neuroimaged
neuroticize	neuroticizes	neuroticized
neurotransmit	neurotransmits	neurotransmitted
neuter	neuters	neutered
neutralise	neutralises	neutralised
neutralize	neutralizes	neutralized
nevermind	neverminds	-
new	news	newed
newcast	newcasts	newcast
newcoin	newcoins	newcoined
newcreate	newcreates	newcreated
newfangle	newfangles	newfangled
newfashion	newfashions	newfashioned
newform	newforms	newformed
newfront	newfronts	newfronted
newfurnish	newfurnishes	newfurnished
newgroup	newgroups	newgrouped
newmake	newmakes	newmade
newmodel	newmodels	newmodelled
newmodelize	newmodelizes	newmodelized
newmould	newmoulds	newmoulded
newname	newnames	newnamed
newset	newsets	newset
newspaper	newspapers	newspapered
newvamp	newvamps	newvamped
neyghbour	neyghbours	neyghboured
nibble	nibbles	nibbled
nice	nices	niced
nicen	nicens	nicened
niche	niches	niched
nick	nicks	nicked
nickel	nickels	nickeled
nickelize	nickelizes	nickelized
nicker	nickers	nickered
nickname	nicknames	nicknamed
nictate	nictates	nictated
nictitate	nictitates	nictitated
nidder	nidders	niddered
nidificate	nidificates	nidificated
nidify	nidifies	nidified
nidulate	nidulates	nidulated
nigger	niggers	niggered
niggerize	niggerizes	niggerized
niggle	niggles	niggled
nigh	nighs	nighed
nighen	nighens	nighened
night	nights	nighted
nightclub	nightclubs	nightclubbed
nihilate	nihilates	nihilated
nill	nills	nilled
nim	nims	nimmed
ninja	ninjas	ninjaed
nip	nips	nipped
nipponize	nipponizes	nipponized
nither	nithers	nithered
